iter	Passed	Remaining
0	145	145837
1	146	73270
2	147	49054
3	148	36852
4	148	29527
5	148	24644
6	149	21169
7	149	18582
8	150	16617
9	152	15092
10	154	13846
11	155	12810
12	156	11910
13	158	11152
14	159	10473
15	159	9837
16	160	9276
17	161	8827
18	163	8446
19	165	8121
20	167	7811
21	168	7505
22	170	7230
23	171	6975
24	172	6740
25	173	6502
26	173	6269
27	174	6073
28	176	5896
29	176	5721
30	178	5566
31	178	5413
32	179	5266
33	180	5131
34	181	4999
35	181	4873
36	182	4752
37	183	4637
38	183	4527
39	184	4423
40	184	4322
41	185	4228
42	185	4138
43	186	4052
44	187	3969
45	187	3891
46	188	3816
47	188	3744
48	189	3676
49	190	3610
50	190	3546
51	191	3484
52	191	3425
53	192	3366
54	192	3310
55	193	3256
56	193	3204
57	194	3152
58	194	3102
59	194	3054
60	195	3007
61	195	2961
62	196	2918
63	196	2876
64	197	2834
65	197	2794
66	197	2755
67	198	2718
68	198	2681
69	199	2645
70	199	2610
71	199	2576
72	200	2543
73	200	2512
74	201	2481
75	201	2451
76	202	2421
77	202	2393
78	202	2366
79	203	2338
80	203	2311
81	204	2285
82	204	2257
83	204	2232
84	205	2209
85	205	2186
86	206	2164
87	206	2142
88	207	2120
89	207	2099
90	208	2078
91	208	2059
92	209	2040
93	209	2020
94	209	2000
95	210	1981
96	210	1962
97	211	1944
98	211	1926
99	212	1908
100	212	1890
101	212	1873
102	213	1856
103	213	1840
104	213	1823
105	214	1807
106	214	1792
107	215	1777
108	215	1762
109	216	1747
110	216	1733
111	216	1718
112	217	1705
113	217	1692
114	218	1679
115	218	1665
116	218	1652
117	219	1639
118	219	1626
119	220	1614
120	220	1602
121	220	1590
122	221	1579
123	221	1568
124	222	1557
125	222	1546
126	223	1535
127	223	1524
128	224	1514
129	224	1504
130	225	1493
131	225	1483
132	225	1472
133	226	1463
134	226	1453
135	227	1443
136	227	1433
137	228	1424
138	228	1415
139	228	1405
140	229	1396
141	229	1386
142	229	1378
143	230	1369
144	230	1360
145	231	1352
146	231	1343
147	232	1335
148	232	1327
149	232	1319
150	233	1311
151	233	1303
152	234	1295
153	234	1288
154	234	1280
155	235	1273
156	235	1266
157	236	1259
158	236	1252
159	237	1246
160	237	1238
161	238	1231
162	238	1225
163	239	1219
164	239	1213
165	240	1207
166	240	1201
167	241	1195
168	241	1189
169	242	1183
170	242	1177
171	243	1170
172	243	1164
173	244	1158
174	244	1152
175	244	1146
176	245	1140
177	245	1134
178	246	1129
179	246	1123
180	247	1118
181	247	1112
182	247	1106
183	248	1101
184	248	1095
185	249	1090
186	249	1084
187	249	1079
188	250	1074
189	250	1068
190	251	1063
191	251	1059
192	252	1054
193	252	1049
194	253	1045
195	253	1041
196	254	1036
197	254	1032
198	255	1027
199	255	1023
200	256	1018
201	256	1013
202	256	1008
203	257	1004
204	257	999
205	258	995
206	258	990
207	258	986
208	259	981
209	259	977
210	260	973
211	260	969
212	261	965
213	261	961
214	262	956
215	262	952
216	262	948
217	263	944
218	263	940
219	264	937
220	264	933
221	265	929
222	265	926
223	266	922
224	266	919
225	267	915
226	267	912
227	268	908
228	269	906
229	269	903
230	270	899
231	270	896
232	271	893
233	271	890
234	272	886
235	272	883
236	273	879
237	273	876
238	274	873
239	274	870
240	275	867
241	275	863
242	276	860
243	276	857
244	277	854
245	277	851
246	278	847
247	278	844
248	279	841
249	279	838
250	279	835
251	280	832
252	280	829
253	281	826
254	281	823
255	282	821
256	283	818
257	283	815
258	284	813
259	284	810
260	285	807
261	286	805
262	286	803
263	287	800
264	287	797
265	288	795
266	288	792
267	289	790
268	289	787
269	290	784
270	290	781
271	291	779
272	291	777
273	292	774
274	292	772
275	293	769
276	293	767
277	294	764
278	294	762
279	295	759
280	295	756
281	296	754
282	296	751
283	297	749
284	297	746
285	298	744
286	298	742
287	299	739
288	299	737
289	300	735
290	300	732
291	301	730
292	301	727
293	302	725
294	302	723
295	303	720
296	303	718
297	303	716
298	304	713
299	304	711
300	305	708
301	305	706
302	306	704
303	306	701
304	307	699
305	307	697
306	307	695
307	308	692
308	308	690
309	309	688
310	309	685
311	310	683
312	310	681
313	310	679
314	311	677
315	311	674
316	312	672
317	312	670
318	313	668
319	313	666
320	314	664
321	314	662
322	315	660
323	316	659
324	316	657
325	316	655
326	317	653
327	317	650
328	318	648
329	318	646
330	318	644
331	319	642
332	319	640
333	320	638
334	320	636
335	321	634
336	321	632
337	321	630
338	322	628
339	322	626
340	323	624
341	323	622
342	324	621
343	324	619
344	325	617
345	325	615
346	325	613
347	326	611
348	326	609
349	327	607
350	327	605
351	328	604
352	328	602
353	329	601
354	329	599
355	330	598
356	331	596
357	331	594
358	332	593
359	332	591
360	333	589
361	333	588
362	334	586
363	334	584
364	335	582
365	335	581
366	335	579
367	336	577
368	336	576
369	337	574
370	337	572
371	338	571
372	338	569
373	339	567
374	339	565
375	339	564
376	340	562
377	340	560
378	341	559
379	341	557
380	342	555
381	342	553
382	343	552
383	343	551
384	344	549
385	344	548
386	345	546
387	345	545
388	346	544
389	347	543
390	347	541
391	348	540
392	348	538
393	349	537
394	349	535
395	350	534
396	350	532
397	351	531
398	351	529
399	351	527
400	352	526
401	352	524
402	353	523
403	353	521
404	354	520
405	354	518
406	354	517
407	355	515
408	355	514
409	356	512
410	356	511
411	357	509
412	357	508
413	357	506
414	358	505
415	359	504
416	359	502
417	360	501
418	360	500
419	361	498
420	361	497
421	362	496
422	362	494
423	363	493
424	363	491
425	363	490
426	364	488
427	364	487
428	365	486
429	365	484
430	366	483
431	366	481
432	366	480
433	367	479
434	367	477
435	368	476
436	368	474
437	369	473
438	369	472
439	370	470
440	370	469
441	370	468
442	371	466
443	371	465
444	372	464
445	372	463
446	373	461
447	373	460
448	374	459
449	374	458
450	375	456
451	375	455
452	376	454
453	376	453
454	377	451
455	377	450
456	378	449
457	378	448
458	378	446
459	379	445
460	379	444
461	380	442
462	380	441
463	380	440
464	381	438
465	381	437
466	382	436
467	382	434
468	382	433
469	383	432
470	383	430
471	384	429
472	384	428
473	384	427
474	385	425
475	385	424
476	386	423
477	386	422
478	387	421
479	387	419
480	387	418
481	388	417
482	388	416
483	389	414
484	389	413
485	390	412
486	390	411
487	391	410
488	391	409
489	392	408
490	392	407
491	393	405
492	393	404
493	393	403
494	394	402
495	394	401
496	395	399
497	395	398
498	395	397
499	396	396
500	396	395
501	397	393
502	397	392
503	397	391
504	398	390
505	398	389
506	399	388
507	399	386
508	399	385
509	400	384
510	400	383
511	401	382
512	401	381
513	401	380
514	402	378
515	402	377
516	403	376
517	403	375
518	404	374
519	404	373
520	405	372
521	405	371
522	406	370
523	406	369
524	406	368
525	407	367
526	407	366
527	408	365
528	408	363
529	409	362
530	409	361
531	409	360
532	410	359
533	410	358
534	411	357
535	411	356
536	411	355
537	412	354
538	412	353
539	413	351
540	413	350
541	413	349
542	414	348
543	414	347
544	415	346
545	415	345
546	416	344
547	416	343
548	417	342
549	417	341
550	418	340
551	418	339
552	419	338
553	419	337
554	420	336
555	420	335
556	420	334
557	421	333
558	421	332
559	422	331
560	422	330
561	423	329
562	423	328
563	424	327
564	424	326
565	424	325
566	425	324
567	425	323
568	426	322
569	426	321
570	426	320
571	427	319
572	427	318
573	428	317
574	428	316
575	429	315
576	429	314
577	429	313
578	430	312
579	430	311
580	431	310
581	431	309
582	431	308
583	432	308
584	432	307
585	433	306
586	433	305
587	433	304
588	434	303
589	434	302
590	435	301
591	435	300
592	436	299
593	436	298
594	437	297
595	437	296
596	438	296
597	439	295
598	439	294
599	440	293
600	440	292
601	441	291
602	441	290
603	441	289
604	442	288
605	442	287
606	443	287
607	443	286
608	444	285
609	444	284
610	444	283
611	445	282
612	445	281
613	446	280
614	446	279
615	447	278
616	447	277
617	447	276
618	448	275
619	448	274
620	449	274
621	449	273
622	449	272
623	450	271
624	450	270
625	451	269
626	451	268
627	452	267
628	452	267
629	453	266
630	453	265
631	454	264
632	454	263
633	455	262
634	455	261
635	455	260
636	456	260
637	456	259
638	457	258
639	457	257
640	458	256
641	458	255
642	458	254
643	459	253
644	459	252
645	460	252
646	460	251
647	460	250
648	461	249
649	461	248
650	462	247
651	462	246
652	462	245
653	463	245
654	463	244
655	464	243
656	464	242
657	464	241
658	465	240
659	465	239
660	466	239
661	466	238
662	467	237
663	467	236
664	468	235
665	468	235
666	469	234
667	469	233
668	469	232
669	470	231
670	470	230
671	471	229
672	471	229
673	471	228
674	472	227
675	472	226
676	473	225
677	473	224
678	474	224
679	474	223
680	474	222
681	475	221
682	475	220
683	476	219
684	476	219
685	477	218
686	477	217
687	478	216
688	478	216
689	479	215
690	479	214
691	480	213
692	480	213
693	481	212
694	481	211
695	482	210
696	482	209
697	483	209
698	483	208
699	484	207
700	484	206
701	485	206
702	485	205
703	486	204
704	486	203
705	487	202
706	487	202
707	488	201
708	488	200
709	488	199
710	489	198
711	489	198
712	490	197
713	490	196
714	490	195
715	491	194
716	491	194
717	492	193
718	492	192
719	493	191
720	493	190
721	493	190
722	494	189
723	494	188
724	495	187
725	495	187
726	496	186
727	496	185
728	497	184
729	497	184
730	498	183
731	498	182
732	499	181
733	499	181
734	500	180
735	500	179
736	501	178
737	501	178
738	502	177
739	502	176
740	502	175
741	503	174
742	503	174
743	503	173
744	504	172
745	504	171
746	505	171
747	505	170
748	506	169
749	506	168
750	506	168
751	507	167
752	507	166
753	508	165
754	508	165
755	509	164
756	509	163
757	509	162
758	510	162
759	510	161
760	511	160
761	512	159
762	512	159
763	513	158
764	513	157
765	514	157
766	514	156
767	515	155
768	515	154
769	516	154
770	516	153
771	517	152
772	517	152
773	518	151
774	518	150
775	519	149
776	519	149
777	519	148
778	520	147
779	520	146
780	521	146
781	521	145
782	521	144
783	522	143
784	522	143
785	523	142
786	523	141
787	524	140
788	524	140
789	524	139
790	525	138
791	525	138
792	526	137
793	526	136
794	527	136
795	527	135
796	528	134
797	528	133
798	529	133
799	529	132
800	530	131
801	530	131
802	531	130
803	531	129
804	532	128
805	532	128
806	533	127
807	533	126
808	534	126
809	535	125
810	536	125
811	537	124
812	537	123
813	538	123
814	538	122
815	539	121
816	539	120
817	540	120
818	540	119
819	541	118
820	541	118
821	541	117
822	542	116
823	542	115
824	543	115
825	543	114
826	544	113
827	544	113
828	545	112
829	545	111
830	546	111
831	546	110
832	547	109
833	547	109
834	548	108
835	549	107
836	549	107
837	550	106
838	550	105
839	551	105
840	551	104
841	552	103
842	552	102
843	553	102
844	553	101
845	553	100
846	554	100
847	554	99
848	555	98
849	555	98
850	555	97
851	556	96
852	556	95
853	557	95
854	557	94
855	558	93
856	558	93
857	559	92
858	559	91
859	560	91
860	560	90
861	561	89
862	561	89
863	562	88
864	562	87
865	563	87
866	563	86
867	564	85
868	564	85
869	565	84
870	565	83
871	565	83
872	566	82
873	566	81
874	567	81
875	567	80
876	567	79
877	568	78
878	568	78
879	569	77
880	569	76
881	569	76
882	570	75
883	570	74
884	570	74
885	571	73
886	571	72
887	572	72
888	572	71
889	573	70
890	573	70
891	574	69
892	575	68
893	575	68
894	576	67
895	576	66
896	577	66
897	577	65
898	577	64
899	578	64
900	578	63
901	579	62
902	579	62
903	580	61
904	580	60
905	580	60
906	581	59
907	581	58
908	582	58
909	582	57
910	583	56
911	583	56
912	583	55
913	584	54
914	584	54
915	585	53
916	585	52
917	585	52
918	586	51
919	586	51
920	587	50
921	587	49
922	587	49
923	588	48
924	588	47
925	589	47
926	589	46
927	590	45
928	590	45
929	591	44
930	592	43
931	592	43
932	592	42
933	593	41
934	593	41
935	594	40
936	594	39
937	595	39
938	595	38
939	595	38
940	596	37
941	596	36
942	597	36
943	597	35
944	597	34
945	598	34
946	598	33
947	599	32
948	599	32
949	600	31
950	600	30
951	600	30
952	601	29
953	601	29
954	602	28
955	602	27
956	602	27
957	603	26
958	603	25
959	604	25
960	604	24
961	605	23
962	606	23
963	606	22
964	607	22
965	607	21
966	608	20
967	608	20
968	608	19
969	609	18
970	609	18
971	610	17
972	610	16
973	611	16
974	611	15
975	611	15
976	612	14
977	612	13
978	613	13
979	613	12
980	613	11
981	614	11
982	614	10
983	615	10
984	615	9
985	615	8
986	616	8
987	616	7
988	617	6
989	617	6
990	617	5
991	618	4
992	618	4
993	619	3
994	619	3
995	620	2
996	620	1
997	621	1
998	621	0
999	622	0
